home,search,logged,bought
0,ruby,1,1
1,algorithms,0,0
0,algorithms,0,1
1,java,1,1
1,algorithms,0,0
0,ruby,0,1
0,java,0,0
0,ruby,1,1
1,ruby,0,0
0,ruby,0,1
1,java,1,1
1,algorithms,0,0
0,ruby,1,1
1,algorithms,0,0
0,algorithms,0,1
1,java,1,1
1,algorithms,0,0
0,ruby,0,1
0,java,0,0
0,ruby,1,1
1,ruby,0,0
0,ruby,0,1
1,java,1,1
1,algorithms,0,0
0,ruby,1,1
1,algorithms,0,0
0,algorithms,0,1
1,java,1,1
1,algorithms,0,0
0,ruby,0,1
0,java,0,0
0,ruby,1,1
1,ruby,0,0
0,ruby,0,1
1,java,1,1
1,algorithms,0,0
0,ruby,1,1
1,algorithms,0,0
0,algorithms,0,1
1,java,1,1
1,algorithms,0,0
0,ruby,0,1
0,java,0,0
0,ruby,1,1
1,ruby,0,0
0,ruby,0,1
1,java,1,1
1,algorithms,0,0
0,ruby,1,1
1,algorithms,0,0
0,algorithms,0,1
1,java,1,1
1,algorithms,0,0
0,ruby,0,1
0,java,0,0
0,ruby,1,1
1,ruby,0,0
0,ruby,0,1
1,java,1,1
1,algorithms,0,0
0,ruby,1,1
1,algorithms,0,0
0,algorithms,0,1
1,java,1,1
1,algorithms,0,0
0,ruby,0,1
0,java,0,0
0,ruby,1,1
1,ruby,0,0
0,ruby,0,1
1,java,1,1
1,ruby,0,0
0,ruby,0,1
1,java,1,1
1,algorithms,0,0
0,ruby,1,1
